Date,Pastry Category,daily_count,temp_f,precip_in,humidity_pct,wind_mph,weather_condition,Total Occ %,Group Occ %,Transient Occ %,Day of Week,Weekday or Weekend,Event,Month
2024-08-31,Butter Croissant,6,77.66190476190476,0.0199523809523809,81.71428571428571,1.9285714285714288,rainy,9.7,0.0,9.7,SATURDAY,Weekend,Yes,August
2024-08-31,Chocolate Croissant,4,77.66190476190476,0.0199523809523809,81.71428571428571,1.9285714285714288,rainy,9.7,0.0,9.7,SATURDAY,Weekend,Yes,August
2024-08-31,Morning Bun,2,77.66190476190476,0.0199523809523809,81.71428571428571,1.9285714285714288,rainy,9.7,0.0,9.7,SATURDAY,Weekend,Yes,August
2024-08-31,Muffin,5,77.66190476190476,0.0199523809523809,81.71428571428571,1.9285714285714288,rainy,9.7,0.0,9.7,SATURDAY,Weekend,Yes,August
2024-08-31,Overnight Oats,1,77.66190476190476,0.0199523809523809,81.71428571428571,1.9285714285714288,rainy,9.7,0.0,9.7,SATURDAY,Weekend,Yes,August
2024-08-31,Sweet Treat,4,77.40298507462687,0.0336417910447761,82.34328358208955,2.019402985074627,rainy,9.7,0.0,9.7,SATURDAY,Weekend,Yes,August
2024-08-31,Yogurt Parfait,3,77.66190476190476,0.0199523809523809,81.71428571428571,1.9285714285714288,rainy,9.7,0.0,9.7,SATURDAY,Weekend,Yes,August
2024-09-01,Butter Croissant,2,74.9,0.005391304347826,87.43478260869566,4.817391304347826,rainy,14.9,0.0,14.9,SUNDAY,Weekend,Yes,September
2024-09-01,Chocolate Croissant,5,74.9,0.005391304347826,87.43478260869566,4.817391304347826,rainy,14.9,0.0,14.9,SUNDAY,Weekend,Yes,September
2024-09-01,Cookie/Brownie,3,74.9,0.005391304347826,87.43478260869566,4.817391304347826,rainy,14.9,0.0,14.9,SUNDAY,Weekend,Yes,September
2024-09-01,Morning Bun,3,74.9,0.005391304347826,87.43478260869566,4.817391304347826,rainy,14.9,0.0,14.9,SUNDAY,Weekend,Yes,September
2024-09-01,Muffin,6,74.9,0.005391304347826,87.43478260869566,4.817391304347826,rainy,14.9,0.0,14.9,SUNDAY,Weekend,Yes,September
